lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,w_assemblycenter_lat,w_assemblycenter_lng,m_camp_lat,m_camp_lng
Santa Maria,CA,None,Poston,3,34.9334,-120.4432,0.0,0.0,34.15,-114.2833
Taft,CA,Fresno,Manzanar,3,35.1267,-119.4242,36.7333,-119.7667,36.7333,-118.0667
South Gate,CA,None,Minidoka,3,33.9448,-118.1926,0.0,0.0,42.6667,-114.2333
Webster,TX,Santa Anita,Heartmountain,3,29.5317,-95.1188,34.1333,-118.0333,44.5167,-109.05
San Jose,CA,Merced,Poston,3,37.3019,-121.8486,37.3,-120.4667,34.15,-114.2833
Sunnyvale,CA,Santa Anita,Manzanar,3,37.3836,-122.0256,34.1333,-118.0333,36.7333,-118.0667
Tulare,CA,Manzanar,Manzanar,3,36.1996,-119.34,36.7333,-118.0667,36.7333,-118.0667
Zillah,WA,Santa Anita,Heartmountain,3,46.4084,-120.2725,34.1333,-118.0333,44.5167,-109.05
South Gate,CA,Manzanar,Topaz,3,33.9448,-118.1926,36.7333,-118.0667,39.3833,-112.7167
Seattle,WA,Pomona,Minidoka,3,47.6211,-122.3244,34.05,-117.75,42.6667,-114.2333
San Luis Obisbo,CA,None,Manzanar,3,0.0,0.0,0.0,0.0,36.7333,-118.0667
San Jose,CA,Santa Anita,Amache,3,37.3019,-121.8486,34.1333,-118.0333,38.05,-102.3
Spokane,WA,Pomona,Heartmountain,3,47.6671,-117.433,34.05,-117.75,44.5167,-109.05
Yakima,WA,Pomona,Heartmountain,3,46.5923,-120.5496,34.05,-117.75,44.5167,-109.05
San Mateo,CA,Tanforan,Minidoka,3,37.5521,-122.3122,37.6167,-122.4,42.6667,-114.2333
Visalia,CA,None,Gilariver,3,36.3276,-119.3269,0.0,0.0,32.1667,-111.8667
WIlliams,CA,Pinedale,Poston,3,0.0,0.0,36.84,-119.8,34.15,-114.2833
Selma,CA,None,Minidoka,3,36.5715,-119.6143,0.0,0.0,42.6667,-114.2333
Taft,CA,Turlock,Gilariver,3,35.1267,-119.4242,37.4833,-120.8333,32.1667,-111.8667
San Jose,CA,Stockton,Rohwer,3,37.3019,-121.8486,37.95,-121.2833,33.75,-91.2667
Vallejo,CA,Tanforan,Gilariver,3,38.1133,-122.2358,37.6167,-122.4,32.1667,-111.8667
Signal Hill,CA,None,Poston,3,33.8029,-118.1681,0.0,0.0,34.15,-114.2833
Vallejo,CA,Pomona,Heartmountain,3,38.1133,-122.2358,34.05,-117.75,44.5167,-109.05
West Covina,CA,Santa Anita,Poston,3,34.0555,-117.9112,34.1333,-118.0333,34.15,-114.2833
Wickenburg,AZ,Mayer,Poston,3,33.9837,-112.7668,34.3833,-112.2333,34.15,-114.2833
Vacaville,CA,Tanforan,Topaz,3,38.359,-121.968,37.6167,-122.4,39.3833,-112.7167
Vancouver,WA,Portland,Minidoka,3,45.6366,-122.5967,45.5167,-122.6667,42.6667,-114.2333
Walnut Creek,CA,Merced,Poston,3,37.9024,-122.0398,37.3,-120.4667,34.15,-114.2833
Santa Ana,CA,Tanforan,Topaz,3,33.7366,-117.8819,37.6167,-122.4,39.3833,-112.7167
Winters,CA,Marysville (Arboga),Tulelake,3,38.532,-121.9781,0.0,0.0,41.8833,-121.3667
Signal Hill,CA,Santa Anita,Manzanar,3,33.8029,-118.1681,34.1333,-118.0333,36.7333,-118.0667
San Jose,CA,Santa Anita,Manzanar,3,37.3019,-121.8486,34.1333,-118.0333,36.7333,-118.0667
Taft,CA,Marysville (Arboga),Tulelake,3,35.1267,-119.4242,0.0,0.0,41.8833,-121.3667
Woodlake,CA,None,Gilariver,3,36.4124,-119.0999,0.0,0.0,32.1667,-111.8667
San Leandro,CA,None,Topaz,3,37.7071,-122.1601,0.0,0.0,39.3833,-112.7167
Woodlake,CA,None,Minidoka,3,36.4124,-119.0999,0.0,0.0,42.6667,-114.2333
San Leandro,CA,Pinedale,Gilariver,3,37.7071,-122.1601,36.84,-119.8,32.1667,-111.8667
South Bend,WA,Portland,Tulelake,3,46.6678,-123.8006,45.5167,-122.6667,41.8833,-121.3667
Alturas,CA,None,Tulelake,3,41.4898,-120.5516,0.0,0.0,41.8833,-121.3667
Maui,HI,Puyallup,Manzanar,3,0.0,0.0,47.1833,-122.2833,36.7333,-118.0667
Fresno,CA,None,Rohwer,3,36.7831,-119.7941,0.0,0.0,33.75,-91.2667
Manteca,CA,Stockton,Tulelake,3,37.7927,-121.2264,37.95,-121.2833,41.8833,-121.3667
Ross,CA,Tanforan,Gilariver,3,37.9638,-122.5615,37.6167,-122.4,32.1667,-111.8667
Sacramento,CA,Santa Anita,Rohwer,3,38.5667,-121.4683,34.1333,-118.0333,33.75,-91.2667
Sacramento,CA,Stockton,Tulelake,3,38.5667,-121.4683,37.95,-121.2833,41.8833,-121.3667
Sacramento,CA,Tanforan,Topaz,3,38.5667,-121.4683,37.6167,-122.4,39.3833,-112.7167
Los Angeles,CA,Stockton,Gilariver,3,34.1139,-118.4068,37.95,-121.2833,32.1667,-111.8667
Los Angeles,CA,Puyallup,Tulelake,3,34.1139,-118.4068,47.1833,-122.2833,41.8833,-121.3667
Los Angeles,CA,Pomona,Gilariver,3,34.1139,-118.4068,34.05,-117.75,32.1667,-111.8667
Los Angeles,CA,None,Rohwer,3,34.1139,-118.4068,0.0,0.0,33.75,-91.2667
Los Angeles,CA,None,Jerome,3,34.1139,-118.4068,0.0,0.0,33.3833,-91.4667
Los Angeles,CA,None,Amache,3,34.1139,-118.4068,0.0,0.0,38.05,-102.3
Lompoc,CA,Sacramento (Walerga),Tulelake,3,34.6618,-120.4714,0.0,0.0,41.8833,-121.3667
Lodi,CA,Manzanar,Manzanar,3,38.1218,-121.2932,36.7333,-118.0667,36.7333,-118.0667
Livermore,CA,None,Tulelake,3,37.6862,-121.7608,0.0,0.0,41.8833,-121.3667
Livermore,CA,None,Gilariver,3,37.6862,-121.7608,0.0,0.0,32.1667,-111.8667
Lemoore,CA,None,Gilariver,3,36.2949,-119.7983,0.0,0.0,32.1667,-111.8667
Hollister,CA,Pomona,Heartmountain,3,36.8563,-121.3981,34.05,-117.75,44.5167,-109.05
Mason,NV,Manzanar,Manzanar,3,0.0,0.0,36.7333,-118.0667,36.7333,-118.0667
Rocklin,CA,Sacramento (Walerga),Tulelake,3,38.8075,-121.2488,0.0,0.0,41.8833,-121.3667
Morgan Hill,CA,Santa Anita,Topaz,3,37.1326,-121.6417,34.1333,-118.0333,39.3833,-112.7167
Pullman,WA,None,Minidoka,3,46.734,-117.1669,0.0,0.0,42.6667,-114.2333
Piedmont,CA,None,Tulelake,3,37.8226,-122.23,0.0,0.0,41.8833,-121.3667
Pleasanton,CA,None,Poston,3,37.6663,-121.8805,0.0,0.0,34.15,-114.2833
Piedmont,CA,None,Poston,3,37.8226,-122.23,0.0,0.0,34.15,-114.2833
Pleasanton,CA,Tanforan,Manzanar,3,37.6663,-121.8805,37.6167,-122.4,36.7333,-118.0667
Port Angeles,WA,None,Tulelake,3,48.1142,-123.4565,0.0,0.0,41.8833,-121.3667
Olympia,WA,Puyallup,Minidoka,3,47.0417,-122.8959,47.1833,-122.2833,42.6667,-114.2333
Port Orchard,WA,Puyallup,Minidoka,3,47.5163,-122.661,47.1833,-122.2833,42.6667,-114.2333
Renton,WA,Pinedale,Minidoka,3,47.4784,-122.1919,36.84,-119.8,42.6667,-114.2333
Rocklin,CA,Marysville (Arboga),Minidoka,3,38.8075,-121.2488,0.0,0.0,42.6667,-114.2333
Renton,WA,Pomona,Tulelake,3,47.4784,-122.1919,34.05,-117.75,41.8833,-121.3667
Oahu,HI,Merced,Amache,3,0.0,0.0,37.3,-120.4667,38.05,-102.3
Richmond,CA,Tanforan,Gilariver,3,37.9477,-122.339,37.6167,-122.4,32.1667,-111.8667
Riverbank,CA,Sacramento (Walerga),Tulelake,3,37.7268,-120.9402,0.0,0.0,41.8833,-121.3667
Norfolk,VA,None,Rohwer,3,36.8945,-76.259,0.0,0.0,33.75,-91.2667
New York,NY,Turlock,Gilariver,3,40.6943,-73.9249,37.4833,-120.8333,32.1667,-111.8667
New York,NY,None,Rohwer,3,40.6943,-73.9249,0.0,0.0,33.75,-91.2667
Hollister,CA,None,Poston,3,36.8563,-121.3981,0.0,0.0,34.15,-114.2833
Piedmont,CA,Pomona,Heartmountain,3,37.8226,-122.23,34.05,-117.75,44.5167,-109.05
Cathlamet,WA,Pinedale,Tulelake,3,46.2055,-123.3835,36.84,-119.8,41.8833,-121.3667
City_Unregistered,Not Found,Portland,Heartmountain,3,0.0,0.0,45.5167,-122.6667,44.5167,-109.05
San Jacinto,CA,None,Gilariver,3,33.797,-116.9916,0.0,0.0,32.1667,-111.8667
San Francisco,CA,Sacramento (Walerga),Minidoka,3,37.7562,-122.443,0.0,0.0,42.6667,-114.2333
Bakersfield,CA,Portland,Minidoka,3,35.3529,-119.0359,45.5167,-122.6667,42.6667,-114.2333
City_Unregistered,Not Found,Tanforan,Tulelake,3,0.0,0.0,37.6167,-122.4,41.8833,-121.3667
El Cajon,CA,Santa Anita,Amache,3,32.8017,-116.9605,34.1333,-118.0333,38.05,-102.3
San Francisco,CA,Tulare,Gilariver,3,37.7562,-122.443,36.2,-119.3333,32.1667,-111.8667
City_Unregistered,Not Found,Salinas,Poston,3,0.0,0.0,36.6667,-121.65,34.15,-114.2833
San Diego,CA,Tulare,Gilariver,3,32.8312,-117.1225,36.2,-119.3333,32.1667,-111.8667
Bakersfield,CA,Fresno,Jerome,3,35.3529,-119.0359,36.7333,-119.7667,33.3833,-91.4667
San Joaquin,CA,Fresno,Amache,3,36.6057,-120.1897,36.7333,-119.7667,38.05,-102.3
Centralia,WA,None,Tulelake,3,46.7226,-122.9696,0.0,0.0,41.8833,-121.3667
San Joaquin,CA,None,Minidoka,3,36.6057,-120.1897,0.0,0.0,42.6667,-114.2333
Stockton,CA,Sacramento (Walerga),Minidoka,2,37.9765,-121.3109,0.0,0.0,42.6667,-114.2333
Sultan,WA,Tulare,Gilariver,2,47.871,-121.8043,36.2,-119.3333,32.1667,-111.8667
Stockton,CA,Turlock,Minidoka,2,37.9765,-121.3109,37.4833,-120.8333,42.6667,-114.2333
Oahu,HI,Manzanar,Manzanar,2,0.0,0.0,36.7333,-118.0667,36.7333,-118.0667
North Sacramento,CA,Sacramento (Walerga),Tulelake,2,0.0,0.0,0.0,0.0,41.8833,-121.3667
Spokane,WA,None,Minidoka,2,47.6671,-117.433,0.0,0.0,42.6667,-114.2333
Spokane,WA,None,Poston,2,47.6671,-117.433,0.0,0.0,34.15,-114.2833
Modesto,CA,Merced,Manzanar,2,37.6374,-121.0028,37.3,-120.4667,36.7333,-118.0667
Woodlake,CA,Stockton,Topaz,2,36.4124,-119.0999,37.95,-121.2833,39.3833,-112.7167
National City,CA,Manzanar,Manzanar,2,32.6654,-117.0983,36.7333,-118.0667,36.7333,-118.0667
Morgan Hill,CA,None,Heartmountain,2,37.1326,-121.6417,0.0,0.0,44.5167,-109.05
Newport Beach,CA,Marysville (Arboga),Tulelake,2,33.6151,-117.8669,0.0,0.0,41.8833,-121.3667
Woodlake,CA,None,Manzanar,2,36.4124,-119.0999,0.0,0.0,36.7333,-118.0667
Morgan Hill,CA,Pomona,Amache,2,37.1326,-121.6417,34.05,-117.75,38.05,-102.3
Carmel-By-The-Sea,CA,Tanforan,Topaz,2,0.0,0.0,37.6167,-122.4,39.3833,-112.7167
Woodland,CA,Merced,Poston,2,38.6712,-121.75,37.3,-120.4667,34.15,-114.2833
Bakersfield,CA,Stockton,Minidoka,2,35.3529,-119.0359,37.95,-121.2833,42.6667,-114.2333
St. Petersburg,FL,None,Rohwer,2,27.7931,-82.6652,0.0,0.0,33.75,-91.2667
Blackfoot,ID,None,Poston,2,43.194,-112.3455,0.0,0.0,34.15,-114.2833
Needles,CA,Manzanar,Manzanar,2,34.8164,-114.6189,36.7333,-118.0667,36.7333,-118.0667
Willits,CA,Stockton,Rohwer,2,39.4047,-123.3494,37.95,-121.2833,33.75,-91.2667
El Centro,CA,Tulare,Gilariver,2,32.7867,-115.5586,36.2,-119.3333,32.1667,-111.8667
Oahu,HI,Sacramento (Walerga),Jerome,2,0.0,0.0,0.0,0.0,33.3833,-91.4667
South Gate,CA,None,Jerome,2,33.9448,-118.1926,0.0,0.0,33.3833,-91.4667
Angels,CA,Merced,Amache,2,38.0707,-120.5501,37.3,-120.4667,38.05,-102.3
Piedmont,CA,None,Topaz,2,37.8226,-122.23,0.0,0.0,39.3833,-112.7167
Auburn,CA,Fresno,Jerome,2,38.895,-121.0778,36.7333,-119.7667,33.3833,-91.4667
Piedmont,CA,None,Gilariver,2,37.8226,-122.23,0.0,0.0,32.1667,-111.8667
Selma,CA,Merced,Amache,2,36.5715,-119.6143,37.3,-120.4667,38.05,-102.3
Petaluma,CA,Fresno,Amache,2,38.2423,-122.6267,36.7333,-119.7667,38.05,-102.3
Selma,CA,Stockton,Rohwer,2,36.5715,-119.6143,37.95,-121.2833,33.75,-91.2667
Yakima,WA,Portland,Tulelake,2,46.5923,-120.5496,45.5167,-122.6667,41.8833,-121.3667
Selma,CA,Tanforan,Topaz,2,36.5715,-119.6143,37.6167,-122.4,39.3833,-112.7167
Palo Alto,CA,Santa Anita,Amache,2,37.3913,-122.1468,34.1333,-118.0333,38.05,-102.3
Palo Alto,CA,None,Heartmountain,2,37.3913,-122.1468,0.0,0.0,44.5167,-109.05
Signal Hill,CA,Santa Anita,Amache,2,33.8029,-118.1681,34.1333,-118.0333,38.05,-102.3
Pacific Grove,CA,None,Tulelake,2,36.6192,-121.9255,0.0,0.0,41.8833,-121.3667
Pacific Grove,CA,Merced,Amache,2,36.6192,-121.9255,37.3,-120.4667,38.05,-102.3
Yakima,WA,Pinedale,Tulelake,2,46.5923,-120.5496,36.84,-119.8,41.8833,-121.3667
Bakersfield,CA,Pinedale,Tulelake,2,35.3529,-119.0359,36.84,-119.8,41.8833,-121.3667
Sonoma,CA,None,Poston,2,38.2902,-122.4598,0.0,0.0,34.15,-114.2833
Woodland,CA,None,Amache,2,38.6712,-121.75,0.0,0.0,38.05,-102.3
Sonoma,CA,Santa Anita,Amache,2,38.2902,-122.4598,34.1333,-118.0333,38.05,-102.3
Sonora,CA,None,Poston,2,37.9819,-120.3828,0.0,0.0,34.15,-114.2833
Sonora,CA,Tanforan,Topaz,2,37.9819,-120.3828,37.6167,-122.4,39.3833,-112.7167
Oakland,CA,Stockton,Tulelake,2,37.7903,-122.2165,37.95,-121.2833,41.8833,-121.3667
South Bend,WA,Puyallup,Minidoka,2,46.6678,-123.8006,47.1833,-122.2833,42.6667,-114.2333
Oakland,CA,Santa Anita,Poston,2,37.7903,-122.2165,34.1333,-118.0333,34.15,-114.2833
Oakland,CA,Pomona,Poston,2,37.7903,-122.2165,34.05,-117.75,34.15,-114.2833
Oak Harbor,WA,Portland,Minidoka,2,48.2965,-122.6333,45.5167,-122.6667,42.6667,-114.2333
Manteca,CA,None,Rohwer,2,37.7927,-121.2264,0.0,0.0,33.75,-91.2667
Sunnyvale,CA,Pinedale,Poston,2,37.3836,-122.0256,36.84,-119.8,34.15,-114.2833
Los Angeles,CA,Fresno,Manzanar,2,34.1139,-118.4068,36.7333,-119.7667,36.7333,-118.0667
Coronada,CA,Santa Anita,Minidoka,2,0.0,0.0,34.1333,-118.0333,42.6667,-114.2333
Lodi,CA,Stockton,Tulelake,2,38.1218,-121.2932,37.95,-121.2833,41.8833,-121.3667
Lodi,CA,Sacramento (Walerga),Minidoka,2,38.1218,-121.2932,0.0,0.0,42.6667,-114.2333
El Cajon,CA,Santa Anita,Heartmountain,2,32.8017,-116.9605,34.1333,-118.0333,44.5167,-109.05
Westmorland,CA,None,Manzanar,2,33.0389,-115.6223,0.0,0.0,36.7333,-118.0667
Tulare,CA,Fresno,Heartmountain,2,36.1996,-119.34,36.7333,-119.7667,44.5167,-109.05
Tulare,CA,Fresno,Rohwer,2,36.1996,-119.34,36.7333,-119.7667,33.75,-91.2667
Lindsay,CA,None,Minidoka,2,36.2082,-119.0897,0.0,0.0,42.6667,-114.2333
Tulare,CA,Stockton,Rohwer,2,36.1996,-119.34,37.95,-121.2833,33.75,-91.2667
Turlock,CA,None,Gilariver,2,37.5053,-120.8588,0.0,0.0,32.1667,-111.8667
Isleton,CA,Tulare,Gilariver,2,38.1617,-121.6051,36.2,-119.3333,32.1667,-111.8667
Vacaville,CA,None,Gilariver,2,38.359,-121.968,0.0,0.0,32.1667,-111.8667
Isleton,CA,Sacramento (Walerga),Minidoka,2,38.1617,-121.6051,0.0,0.0,42.6667,-114.2333
West Covina,CA,Turlock,Gilariver,2,34.0555,-117.9112,37.4833,-120.8333,32.1667,-111.8667
West Covina,CA,Tulare,Gilariver,2,34.0555,-117.9112,36.2,-119.3333,32.1667,-111.8667
Hawaii,HI,Sacramento (Walerga),Tulelake,2,0.0,0.0,0.0,0.0,41.8833,-121.3667
Gridley,CA,Marysville (Arboga),Tulelake,2,39.3622,-121.6971,0.0,0.0,41.8833,-121.3667
Fullerton,CA,Santa Anita,Poston,2,33.8841,-117.9279,34.1333,-118.0333,34.15,-114.2833
Walnut Creek,CA,Stockton,Gilariver,2,37.9024,-122.0398,37.95,-121.2833,32.1667,-111.8667
Fullerton,CA,Santa Anita,Amache,2,33.8841,-117.9279,34.1333,-118.0333,38.05,-102.3
Friday Harbor,WA,Puyallup,Minidoka,2,48.5324,-123.0655,47.1833,-122.2833,42.6667,-114.2333
Friday Harbor,WA,None,Tulelake,2,48.5324,-123.0655,0.0,0.0,41.8833,-121.3667
Fresno,CA,Puyallup,Minidoka,2,36.7831,-119.7941,47.1833,-122.2833,42.6667,-114.2333
West Covina,CA,None,Manzanar,2,34.0555,-117.9112,0.0,0.0,36.7333,-118.0667
Fresno,CA,Fresno,Manzanar,2,36.7831,-119.7941,36.7333,-119.7667,36.7333,-118.0667
Lompoc,CA,Santa Anita,Rohwer,2,34.6618,-120.4714,34.1333,-118.0333,33.75,-91.2667
Los Angeles,CA,Manzanar,Rohwer,2,34.1139,-118.4068,36.7333,-118.0667,33.75,-91.2667
Manteca,CA,Santa Anita,Rohwer,2,37.7927,-121.2264,34.1333,-118.0333,33.75,-91.2667
Los Angeles,CA,Manzanar,Topaz,2,34.1139,-118.4068,36.7333,-118.0667,39.3833,-112.7167
Elmira,NY,None,Manzanar,2,42.0938,-76.8097,0.0,0.0,36.7333,-118.0667
Sunnyvale,CA,Turlock,Gilariver,2,37.3836,-122.0256,37.4833,-120.8333,32.1667,-111.8667
Tacoma,WA,None,Manzanar,2,47.2431,-122.4531,0.0,0.0,36.7333,-118.0667
Tacoma,WA,None,Minidoka,2,47.2431,-122.4531,0.0,0.0,42.6667,-114.2333
Madera,CA,Stockton,Minidoka,2,36.9631,-120.0782,37.95,-121.2833,42.6667,-114.2333
Tacoma,WA,Puyallup,Tulelake,2,47.2431,-122.4531,47.1833,-122.2833,41.8833,-121.3667
Tacoma,WA,Stockton,Rohwer,2,47.2431,-122.4531,37.95,-121.2833,33.75,-91.2667
Madera,CA,None,Poston,2,36.9631,-120.0782,0.0,0.0,34.15,-114.2833
Madera,CA,Fresno,Topaz,2,36.9631,-120.0782,36.7333,-119.7667,39.3833,-112.7167
Whittier,CA,Tulare,Minidoka,2,33.9678,-118.0188,36.2,-119.3333,42.6667,-114.2333
Los Angeles,CA,Turlock,Tulelake,2,34.1139,-118.4068,37.4833,-120.8333,41.8833,-121.3667
Taft,CA,Stockton,Gilariver,2,35.1267,-119.4242,37.95,-121.2833,32.1667,-111.8667
Taft,CA,Stockton,Rohwer,2,35.1267,-119.4242,37.95,-121.2833,33.75,-91.2667
City_Unregistered,Not Found,Portland,Tulelake,2,0.0,0.0,45.5167,-122.6667,41.8833,-121.3667
Los Angeles,CA,Sacramento (Walerga),Minidoka,2,34.1139,-118.4068,0.0,0.0,42.6667,-114.2333
City_Unregistered,Not Found,Salinas,Tulelake,2,0.0,0.0,36.6667,-121.65,41.8833,-121.3667
City_Unregistered,Not Found,Stockton,Gilariver,2,0.0,0.0,37.95,-121.2833,32.1667,-111.8667
Piedmont,CA,Santa Anita,Rohwer,2,37.8226,-122.23,34.1333,-118.0333,33.75,-91.2667
Coronada,CA,Santa Anita,Gilariver,2,0.0,0.0,34.1333,-118.0333,32.1667,-111.8667
White Salmon,WA,Pomona,Heartmountain,2,45.7283,-121.4856,34.05,-117.75,44.5167,-109.05
Torrance,CA,Merced,Rohwer,2,33.8346,-118.3417,37.3,-120.4667,33.75,-91.2667
Los Angeles,CA,Mayer,Poston,2,34.1139,-118.4068,34.3833,-112.2333,34.15,-114.2833
Torrance,CA,None,Rohwer,2,33.8346,-118.3417,0.0,0.0,33.75,-91.2667
Torrance,CA,Pinedale,Manzanar,2,33.8346,-118.3417,36.84,-119.8,36.7333,-118.0667
Los Angeles,CA,Manzanar,Tulelake,2,34.1139,-118.4068,36.7333,-118.0667,41.8833,-121.3667
Torrance,CA,Fresno,Gilariver,2,33.8346,-118.3417,36.7333,-119.7667,32.1667,-111.8667
San Joaquin,CA,Tanforan,Topaz,2,36.6057,-120.1897,37.6167,-122.4,39.3833,-112.7167
San Francisco,CA,Fresno,Rohwer,2,37.7562,-122.443,36.7333,-119.7667,33.75,-91.2667
Richmond,CA,None,Topaz,2,37.9477,-122.339,0.0,0.0,39.3833,-112.7167
Rocklin,CA,Merced,Amache,2,38.8075,-121.2488,37.3,-120.4667,38.05,-102.3
San Luis Obisbo,CA,Manzanar,Manzanar,2,0.0,0.0,36.7333,-118.0667,36.7333,-118.0667
Santa Cruz,CA,None,Poston,2,36.9789,-122.0346,0.0,0.0,34.15,-114.2833
Salinas,CA,None,Manzanar,2,36.6884,-121.6317,0.0,0.0,36.7333,-118.0667
San Joaquin,CA,Fresno,Manzanar,2,36.6057,-120.1897,36.7333,-119.7667,36.7333,-118.0667
San Leandro,CA,Pomona,Heartmountain,2,37.7071,-122.1601,34.05,-117.75,44.5167,-109.05
San Diego,CA,Santa Anita,Rohwer,2,32.8312,-117.1225,34.1333,-118.0333,33.75,-91.2667
Richmond,CA,Sacramento (Walerga),Tulelake,2,37.9477,-122.339,0.0,0.0,41.8833,-121.3667
San Luis Obisbo,CA,Santa Anita,Heartmountain,2,0.0,0.0,34.1333,-118.0333,44.5167,-109.05
San Joaquin,CA,Manzanar,Manzanar,2,36.6057,-120.1897,36.7333,-118.0667,36.7333,-118.0667
San Juan,CA,Tanforan,Topaz,2,0.0,0.0,37.6167,-122.4,39.3833,-112.7167
Santa Ana,CA,Santa Anita,Heartmountain,2,33.7366,-117.8819,34.1333,-118.0333,44.5167,-109.05
Santa Clara,CA,Santa Anita,Rohwer,2,37.3645,-121.968,34.1333,-118.0333,33.75,-91.2667
Renton,WA,None,Minidoka,2,47.4784,-122.1919,0.0,0.0,42.6667,-114.2333
San Luis Obisbo,CA,Pomona,Heartmountain,2,0.0,0.0,34.05,-117.75,44.5167,-109.05
Sacramento,CA,Sacramento (Walerga),Topaz,2,38.5667,-121.4683,0.0,0.0,39.3833,-112.7167
San Juan,CA,Manzanar,Manzanar,2,0.0,0.0,36.7333,-118.0667,36.7333,-118.0667
Sacramento,CA,None,Topaz,2,38.5667,-121.4683,0.0,0.0,39.3833,-112.7167
San Diego,CA,Santa Anita,Amache,2,32.8312,-117.1225,34.1333,-118.0333,38.05,-102.3
Ross,CA,Tanforan,Topaz,2,37.9638,-122.5615,37.6167,-122.4,39.3833,-112.7167
Riverside,CA,Santa Anita,Gilariver,2,33.9381,-117.3948,34.1333,-118.0333,32.1667,-111.8667
Pleasanton,CA,Marysville (Arboga),Tulelake,2,37.6663,-121.8805,0.0,0.0,41.8833,-121.3667
Salinas,CA,Tulare,Gilariver,2,36.6884,-121.6317,36.2,-119.3333,32.1667,-111.8667
San Mateo,CA,None,Topaz,2,37.5521,-122.3122,0.0,0.0,39.3833,-112.7167
Pleasanton,CA,None,Topaz,2,37.6663,-121.8805,0.0,0.0,39.3833,-112.7167
San Mateo,CA,Sacramento (Walerga),Tulelake,2,37.5521,-122.3122,0.0,0.0,41.8833,-121.3667
Salinas,CA,Stockton,Minidoka,2,36.6884,-121.6317,37.95,-121.2833,42.6667,-114.2333
Seattle,WA,Puyallup,Gilariver,2,47.6211,-122.3244,47.1833,-122.2833,32.1667,-111.8667
San Mateo,CA,None,Gilariver,2,37.5521,-122.3122,0.0,0.0,32.1667,-111.8667
Santa Maria,CA,None,Manzanar,2,34.9334,-120.4432,0.0,0.0,36.7333,-118.0667
San Mateo,CA,Merced,Amache,2,37.5521,-122.3122,37.3,-120.4667,38.05,-102.3
Salinas,CA,Tulare,Manzanar,2,36.6884,-121.6317,36.2,-119.3333,36.7333,-118.0667
Isleton,CA,None,Manzanar,1,38.1617,-121.6051,0.0,0.0,36.7333,-118.0667
Visalia,CA,Fresno,Amache,1,36.3276,-119.3269,36.7333,-119.7667,38.05,-102.3
Helena,MT,Pinedale,Tulelake,1,46.5965,-112.0202,36.84,-119.8,41.8833,-121.3667
San Luis Obisbo,CA,Sacramento (Walerga),Minidoka,1,0.0,0.0,0.0,0.0,42.6667,-114.2333
Honeyville,UT,None,Manzanar,1,41.6361,-112.0857,0.0,0.0,36.7333,-118.0667
Idaho Falls,ID,None,Gilariver,1,43.4872,-112.0362,0.0,0.0,32.1667,-111.8667
Fresno,CA,Stockton,Tulelake,1,36.7831,-119.7941,37.95,-121.2833,41.8833,-121.3667
Isleton,CA,None,Topaz,1,38.1617,-121.6051,0.0,0.0,39.3833,-112.7167
Vallejo,CA,None,Tulelake,1,38.1133,-122.2358,0.0,0.0,41.8833,-121.3667
Fresno,CA,Marysville (Arboga),Jerome,1,36.7831,-119.7941,0.0,0.0,33.3833,-91.4667
Isleton,CA,Pinedale,Tulelake,1,38.1617,-121.6051,36.84,-119.8,41.8833,-121.3667
Vacaville,CA,Turlock,Tulelake,1,38.359,-121.968,37.4833,-120.8333,41.8833,-121.3667
Isleton,CA,Sacramento (Walerga),Manzanar,1,38.1617,-121.6051,0.0,0.0,36.7333,-118.0667
Watsonville,CA,Sacramento (Walerga),Tulelake,1,36.9206,-121.7706,0.0,0.0,41.8833,-121.3667
Vacaville,CA,Tulare,Gilariver,1,38.359,-121.968,36.2,-119.3333,32.1667,-111.8667
San Luis Obisbo,CA,Sacramento (Walerga),Tulelake,1,0.0,0.0,0.0,0.0,41.8833,-121.3667
Vacaville,CA,Stockton,Minidoka,1,38.359,-121.968,37.95,-121.2833,42.6667,-114.2333
Vallejo,CA,None,Gilariver,1,38.1133,-122.2358,0.0,0.0,32.1667,-111.8667
Visalia,CA,None,Minidoka,1,36.3276,-119.3269,0.0,0.0,42.6667,-114.2333
Visalia,CA,Fresno,Topaz,1,36.3276,-119.3269,36.7333,-119.7667,39.3833,-112.7167
San Carlos,CA,Turlock,Gilariver,1,37.4982,-122.268,37.4833,-120.8333,32.1667,-111.8667
Fresno,CA,Tanforan,Topaz,1,36.7831,-119.7941,37.6167,-122.4,39.3833,-112.7167
Fresno,CA,Tulare,Gilariver,1,36.7831,-119.7941,36.2,-119.3333,32.1667,-111.8667
San Diego,CA,None,Heartmountain,1,32.8312,-117.1225,0.0,0.0,44.5167,-109.05
San Luis Obisbo,CA,Merced,Amache,1,0.0,0.0,37.3,-120.4667,38.05,-102.3
Alturas,CA,Tanforan,Topaz,1,41.4898,-120.5516,37.6167,-122.4,39.3833,-112.7167
Fullerton,CA,Santa Anita,Heartmountain,1,33.8841,-117.9279,34.1333,-118.0333,44.5167,-109.05
Fullerton,CA,Santa Anita,Jerome,1,33.8841,-117.9279,34.1333,-118.0333,33.3833,-91.4667
Fresno,CA,None,Topaz,1,36.7831,-119.7941,0.0,0.0,39.3833,-112.7167
